,Price,Quantity,Link,Total,Extra Info
Motors - JGB37-520 12V 600rpm motors,$13.49,4,https://www.aliexpress.us/item/3256806061912139.html?spm=a2g0o.productlist.main.5.1e87uZSxuZSxjS&algo_pvid=930ef1b4-5e85-4448-bbcb-68b496c7f35a&algo_exp_id=930ef1b4-5e85-4448-bbcb-68b496c7f35a-4&pdp_ext_f=%7B%22order%22%3A%22101%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.72%217.78%21%21%21126.65%2152.65%21%402103128817795021690006230e909a%2112000050958019345%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A370e7fdf%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=VOXo4eoKJxvt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006248226891%7C_p_origin_prod%3A,$53.96,The 4 drivers for our mecanum motors below (1 per bc it's mecanum)
Motor controller - BTS7960 43A H-Bridge Motor Driver,$15.80,1 (4 pack),https://www.aliexpress.us/item/3256811525663988.html?spm=a2g0o.productlist.main.1.538cefaYefaYk4&algo_pvid=45ca09d4-8669-446d-b9cd-e6c28d5c5060&algo_exp_id=45ca09d4-8669-446d-b9cd-e6c28d5c5060-0&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2133.63%2124.89%21%21%2133.63%2124.89%21%402101d49617795023968113498ea4fe%2112000057755860456%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895&curPageLogUid=e8hDJZGhOjv2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011711978740%7C_p_origin_prod%3A,$15.80,Maybe spare controllers if we can as well
Mecanum wheels,$3.04,4,https://www.aliexpress.us/item/3256805517440779.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.8.5264ShAtShAtdo&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=44b24af5-488d-4e74-b2b2-a790eaabd913&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A44b24af5-488d-4e74-b2b2-a790eaabd913%2Ctpp_buckets%3A668%232846%238111%231996&isseo=y&pdp_ext_f=%7B%22order%22%3A%22446%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%214.20%210.50%21%21%2128.30%213.40%21%402103117b17840854566667762e0d51%2112000034061812849%21rec%21US%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A48977e57%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005703755531%7C_p_origin_prod%3A ,$12.16,The wheels
2kg PETG (Blue and red),$27.99,1 (2kg),https://www.amazon.com/SUNLU-High-Speed-Filament-1-75mm/dp/B0F5VLQZS6/ref=sr_1_4?crid=2MF831SA85EG1&dib=eyJ2IjoiMSJ9.uGK0UO3lUmpUHnA2anaHZrudynFu1piuX80ZxPKc8T_NVI7EecuktdIu8QCCm_hdzE6wdB4XizNj3IsaoVBXlanHlWQsXrf55rrRCYi03ESjNR-elsrCdDFA_mvH_bNjCg4LJThrj0e-SNlqHDMq-x5ALgOF8Jk3p_ILK650mCp1AZ52CfonyPgmZ0Ba3vCjq8O_sK2nyWmJ2CrOqu4Fh1Z9hVeb251H7em1HLSD3vg.jOhMuwJwkfxF5SZqc9hojEiH7XxOLs5F94w5Af-ya_c&dib_tag=se&keywords=2kg%2Bpetg%2Bblue%2Band%2Bred&qid=1779592434&sprefix=2kg%2Bpetg%2Bblue%2Band%2Caps%2C369&sr=8-4&th=1 ,$27.99,"grey, we can use additional colors we have on hand as well"
3S 6k Mah XT60 Lipo,$42.19,1 (more if budget allows),https://www.aliexpress.us/item/2251832781216386.html?spm=a2g0o.productlist.main.1.73bf6jWS6jWSGv&algo_pvid=f2894fd1-077e-46fd-8081-a73a8ebee7c4&algo_exp_id=f2894fd1-077e-46fd-8081-a73a8ebee7c4-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2161.16%2139.25%21%21%2161.16%2139.25%21%4021032f3717795957944746404ed243%2166515591733%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A370e7fdf%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=mBmPmCXIAXAl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32967531138%7C_p_origin_prod%3A,$42.19,We could definetly use more if we can get more to minimize downtime
6V Mini 100rpm motor ,$0.99,3,https://www.aliexpress.us/item/3256807284283899.html?spm=a2g0o.productlist.main.1.4fc2NpLBNpLBwa&algo_pvid=9f1585e5-7f2b-4918-b700-ea4dded76f21&algo_exp_id=9f1585e5-7f2b-4918-b700-ea4dded76f21-0&pdp_ext_f=%7B%22order%22%3A%22578%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.12%210.99%21%21%2182.03%216.71%21%4021032f3717796707851818238ed2cc%2112000056070218453%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=yYGfik5Fk3CM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007470598651%7C_p_origin_prod%3A,$2.97,The 2 motors we need for our diffy turret and one extra for the hopper pusher/puller motor
2306 2400KV Flywheel Motors,$25.91,1 (2 pack),https://www.aliexpress.us/item/3256805556527512.html?spm=a2g0o.productlist.main.4.7065Q0toQ0to6b&aem_p4p_detail=2026052418054812891854558197440000999284&algo_pvid=462754ac-f382-46ad-92c7-d5f5cfcbfc36&algo_exp_id=462754ac-f382-46ad-92c7-d5f5cfcbfc36-3&pdp_ext_f=%7B%22order%22%3A%22109%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2140.36%2112.06%21%21%21273.06%2181.56%21%40210337c117796711485351733e71e5%2112000034182804083%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178481&curPageLogUid=uC9aGJpYmplU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005742842264%7C_p_origin_prod%3A&search_p4p_id=2026052418054812891854558197440000999284_1,$25.91,2 flywheel motors for the shooter
TB6612 dual motor driver,$0.99,1 (3 pack),https://www.aliexpress.us/item/3256809678442187.html?spm=a2g0o.productlist.main.1.6c73hF6dhF6dOp&algo_pvid=eda14dcc-02cd-4b98-ada1-7083cdb98802&algo_exp_id=eda14dcc-02cd-4b98-ada1-7083cdb98802-0&pdp_ext_f=%7B%22order%22%3A%22617%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.06%210.99%21%21%2120.68%216.68%21%4021030a4b17796716394211268e2ec0%2112000056368880932%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=I5mvHZIIYxf0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009864756939%7C_p_origin_prod%3A,$0.99,Motor drivers for the two diffy's and one for the pusher
BLHeli-S ESC 30amp drivers,$32.10,1 (4 pack),https://www.aliexpress.us/item/3256811683435931.html?spm=a2g0o.productlist.main.1.27543ce5uO3M4f&algo_pvid=f0796a69-be10-4070-9006-4e068fe40e90&algo_exp_id=f0796a69-be10-4070-9006-4e068fe40e90-0&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2127.32%217.27%21%21%21184.84%2149.17%21%4021030a4b17796721167111923e2eae%2112000056829315002%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178481&curPageLogUid=WTVh1L2qrCoV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011869750683%7C_p_origin_prod%3A,$32.10,The drivers for the flywheels (two more than we need but better safe than sorry). Also around 10 amps of breathing room so more than enough for our application
Pi Zero W,$31.99,1,https://www.amazon.com/EC-Buying-Pi-Zero-Development/dp/B0FN4CN7TM/ref=sr_1_2?sr=8-2,$41.99,The main processor for OpenCV (vision and object detection)
MT7601U WiFi Dongle,$17.99,1,https://www.amazon.com/Wi-Fi-Dongle-Adapter-Gain-Antenna/dp/B0FXN1ML7Y/ref=sr_1_1?sr=8-1,$17.99,WiFi adapter for the pi so that we can get drastically better range
HD OV5647 Camera Module,$6.99,1 (maybee 2),https://www.amazon.com/Arducam-Megapixels-Sensor-OV5647-Raspberry/dp/B012V1HEP4/ref=sr_1_1?sr=8-1,$6.99,The main aiming camera for the pi
ESP32-CAM type c with antenna,$1.24,2,https://www.aliexpress.us/item/3256808866325459.html?spm=a2g0o.productlist.main.1.f74e5719uZUjsE&algo_pvid=d8a07df1-31cb-405d-8dfd-b6da8c26642e&algo_exp_id=d8a07df1-31cb-405d-8dfd-b6da8c26642e-0&pdp_ext_f=%7B%22order%22%3A%224882%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.81%211.31%21%21%2112.22%218.84%21%402101f70717796739969078543eeb31%2112000047723470302%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=P5JUHPVKMVKv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009052640211%7C_p_origin_prod%3A#nav-review,$2.48,Rear and high views for the user to view (not used in auto aiming). Aggregated to the main pi zero then sent to steamdeck
Pi Pico,$0.99,3,https://www.aliexpress.us/item/3256805430865417.html?spm=a2g0o.productlist.main.2.78155f4dKOjcHd&algo_pvid=06b79965-93d7-4414-b2d0-321ead3cf56f&algo_exp_id=06b79965-93d7-4414-b2d0-321ead3cf56f-1&pdp_ext_f=%7B%22order%22%3A%227387%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.46%210.99%21%21%212.46%210.99%21%402103128817796746029564518e9072%2112000039955164596%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=8KjMoAkO2VwC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005617180169%7C_p_origin_prod%3A,$2.97,The main bus controller for raw instructions to the drivers plus 2 extra bc they're cheap asf
PWM Board PCA9685,$0.99,1,https://www.aliexpress.us/item/3256808530862929.html?spm=a2g0o.productlist.main.4.1d102fd3O4KPEo&aem_p4p_detail=2026052419195610667339699878000001035490&algo_pvid=34a2aae3-b5a4-40b7-a2a2-d529283d3be7&algo_exp_id=34a2aae3-b5a4-40b7-a2a2-d529283d3be7-3&pdp_ext_f=%7B%22order%22%3A%221105%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.89%210.99%21%21%2166.89%216.67%21%40210328db17796755968437694e71b8%2112000047837411277%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=Q8JqVWKOUM6N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008717177681%7C_p_origin_prod%3A&search_p4p_id=2026052419195610667339699878000001035490_1#nav-review,$0.99,Extra lanes of PWM if we need it for more motors (hopefully won't need at all)
LM2596 Buck Converter,$0.99,1 (3 pack),https://www.aliexpress.us/item/3256808194722756.html?spm=a2g0o.productlist.main.2.57d73dffcVD9j5&algo_pvid=7be2f930-d947-4680-ab16-9bb7e2bd8169&algo_exp_id=7be2f930-d947-4680-ab16-9bb7e2bd8169-1&pdp_ext_f=%7B%22order%22%3A%22267%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.09%210.99%21%21%2174.65%216.69%21%402101e80f17818184273376144e62a7%2112000044789042874%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262921&curPageLogUid=D5wD63BSWnOX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008381037508%7C_p_origin_prod%3A,$0.99,The buck converters we need for the raspberry pi's and esp32 Cams
"Wire slip ring (250rpm, 6 wire)",$0.99,1,https://www.aliexpress.us/item/2255800984259333.html?spm=a2g0o.productlist.main.1.fee0Wuv7Wuv7Qb&algo_pvid=f8e4a7c2-2ed4-4a7a-ad2a-86f44cc980d4&algo_exp_id=f8e4a7c2-2ed4-4a7a-ad2a-86f44cc980d4-0&pdp_ext_f=%7B%22order%22%3A%22389%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.11%210.99%21%21%217.11%210.99%21%40210311cc17798358130597672ef9b9%2110000015018984929%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178483&curPageLogUid=JUVALdfGF3MK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001170574085%7C_p_origin_prod%3A,$0.99,Slip ring allows us to have full rotation for our turret like a tank
"xt60 connectors (10 male, female)",$21.35,1 (10 pack),https://www.aliexpress.us/item/3256810183858580.html?spm=a2g0o.productlist.main.4.4a2f4d2eVQtas0&aem_p4p_detail=20260526155206119903169487920004061409&algo_pvid=f73ed588-e922-4d0c-b783-9151c9d97fe5&algo_exp_id=f73ed588-e922-4d0c-b783-9151c9d97fe5-3&pdp_ext_f=%7B%22order%22%3A%22259%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.55%210.99%21%21%2144.23%216.69%21%402101ef5e17798359264214436e68c4%2112000052163101328%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=71iEgc8rjSQR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010370173332%7C_p_origin_prod%3A&search_p4p_id=20260526155206119903169487920004061409_1,$21.35,So that we can connect the battery and make our bot accessable to take apart and work on
16AWG wire,$9.30,"1 (5 colors, 4 meters)",https://www.aliexpress.us/item/3256807070653563.html?spm=a2g0o.productlist.main.8.336734c20p7JTR&aem_p4p_detail=20260526155459394187129782310003317890&algo_pvid=70808ba5-9e4c-4c6d-a436-cbc06c368324&algo_exp_id=70808ba5-9e4c-4c6d-a436-cbc06c368324-7&pdp_ext_f=%7B%22order%22%3A%22887%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.39%210.99%21%21%2156.62%216.65%21%402103129f17798360991491000e61a0%2112000039972435327%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=HP400qLLtaQc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007256968315%7C_p_origin_prod%3A&search_p4p_id=20260526155459394187129782310003317890_2,$19.87,Motor wiring with 5 different colors (anything more than signals really)
22AWG wire,$6.80,"1 (5 colors, 10 meters)",https://www.aliexpress.us/item/3256807070653563.html?spm=a2g0o.productlist.main.8.336734c20p7JTR&aem_p4p_detail=20260526155459394187129782310003317890&algo_pvid=70808ba5-9e4c-4c6d-a436-cbc06c368324&algo_exp_id=70808ba5-9e4c-4c6d-a436-cbc06c368324-7&pdp_ext_f=%7B%22order%22%3A%22887%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.39%210.99%21%21%2156.62%216.65%21%402103129f17798360991491000e61a0%2112000039972435327%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=HP400qLLtaQc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007256968315%7C_p_origin_prod%3A&search_p4p_id=20260526155459394187129782310003317890_2,$6.80,Signal wiring for PWM and pi zero to pi pico for motor control and from pico to motor drivers I believe
25V 100UF capacitors,$0.99,1 (40 pack),https://www.aliexpress.us/item/3256811445656016.html?spm=a2g0o.productlist.main.1.334f7d6agPWc9m&algo_pvid=8f7c50a7-f6b9-4eba-9013-b6af3bb842cd&algo_exp_id=8f7c50a7-f6b9-4eba-9013-b6af3bb842cd-0&pdp_ext_f=%7B%22order%22%3A%222536%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.81%210.99%21%21%2118.98%216.69%21%402101e80f17798365693793874e063c%2112000056427936765%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=HMtMCpdzrivN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A,$0.99,To level out the motor spikes and dips
300 Rival Rounds,$24.99,1 (300 count),https://www.amazon.com/POKONBOY-Rounds-Refill-Rival-Compatible/dp/B07RK6JGKN/ref=sr_1_4_sspa?sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,$24.59,The Ammo
"0.5"" hex shaft collars",$17.45,5 in total,https://wcproducts.com/products/clamping-shaft-collars ,$14.95,to keep the bearings from slipping out
"0.5"" hex bearings",11.96,4 in total,https://wcproducts.com/collections/cnc-hardware/products/ball-bearings ,$11.96,bearings
